"","ICC","ICCk","sigma2_b","sigma2_w","var.data","error.message"
"X45_R",0.454737653230255,0.625181663814787,0.00986783463597699,0.0118322259723326,0.0296546324221924,0
"X47l_R",0.205947721719458,0.341553316135155,0.00293119669974949,0.0113015254458364,0.0216113198366635,0
"a47r_R",0.70549058106172,0.827316889223194,0.0145881538307387,0.00608987394503179,0.0285861577421694,0
"X6r_R",0.322476926332159,0.48768628005713,0.00599833535769204,0.0126024849425908,0.0324987258911574,0
"IFJa_R",0.235662684255849,0.381435301492125,0.00435040513677893,0.0141099003227646,0.0271840862024056,0
"IFJp_R",0.436505754195917,0.607732691527227,0.0103630417496527,0.0133778634962412,0.0311341852889907,0
"IFSp_R",0.426786815540502,0.598248891694201,0.00886618449711288,0.0119080854059636,0.031171503202586,0
"IFSa_R",0.251858851378247,0.402375796761688,0.00460586860925714,0.0136816308534477,0.0312180803504086,0
"p9.46v_R",0.635346570747894,0.777017645204503,0.0145265500744417,0.00833742801761266,0.0300117075684553,0
"X46_R",0.393030983795728,0.564281754487324,0.00821968722627568,0.0126938986363283,0.033903775054316,0
"a9.46v_R",0.439458514126982,0.610588648181375,0.0108321419475387,0.0138166965646872,0.0278146961474825,0
"X9.46d_R",0.444891427615381,0.615812951911024,0.0104372833219191,0.0130230098508736,0.0297024703571328,0
"X9a_R",0.49947766243818,0.666202204874489,0.0107180426528239,0.0107404598165443,0.0264879057837985,0
"X10v_R",0.433448360412826,0.604763132573531,0.0101110731944319,0.013215980539955,0.027449609341503,0
"a10p_R",0.516810346161811,0.681443593089361,0.0113635032866182,0.0106242594797648,0.0234837061279997,0
"X10pp_R",0.533277110214018,0.695604345309221,0.0105790976864137,0.00925880175421302,0.0194432865578546,0
"X11l_R",0.302036616586685,0.463944888705941,0.00543542749229298,0.0125604948356642,0.0238319116223444,0
"X13l_R",0.163151480959722,0.280533505103058,0.00228726226911118,0.011731993061313,0.0233777176031013,0
"OFC_R",0.233311357429942,0.378349483322901,0.00384004991607613,0.0126188570071721,0.0195208085274605,0
"X47s_R",0.621672591874916,0.766705431157546,0.0104984801964073,0.00638899455094277,0.022370720579255,0
"LIPd_R",0.537958739589744,0.699574996053856,0.0153206818818787,0.0131586061273886,0.036344282684673,0
"X6a_R",0.284302938128992,0.442735011637009,0.00427608891847851,0.0107645186342243,0.0248207507185666,0
"i6.8_R",0.549933117170983,0.709621739258981,0.0124252225937975,0.0101688387671849,0.0257310176106727,0
"s6.8_R",0.71372959678348,0.832954741661798,0.0167262852985632,0.00670875981367887,0.0272970375662589,0
"X43_R",0.129895033968965,0.229924072703788,0.00220746743247483,0.0147867729555161,0.0273531166946189,0
"OP4_R",0.225298781215655,0.367745050708578,0.00544208650067254,0.0187128888227998,0.0339163077607677,0
"OP1_R",0.447594663525147,0.618397780543313,0.0104884631973177,0.0129444864154259,0.0300857151684749,0
"OP2.3_R",0.212850719293271,0.350992444341872,0.00435228667580768,0.0160953147711529,0.0291947302725193,0
"X52_R",0.168858580925876,0.288929017900728,0.00258410980845431,0.0127192866448693,0.0264873870535658,0
"RI_R",0.417845630200037,0.58940920125569,0.00749883428132393,0.0104475883669971,0.0297229317999913,0
"PFcm_R",0.402779108306952,0.574258778052484,0.00722122343759723,0.0107072720793402,0.0266425555023708,0
"PoI2_R",0.229094355950528,0.372785628444866,0.00512855002312752,0.0172576410370967,0.0340235753282224,0
"TA2_R",0.282643157951174,0.440719862261072,0.00471688220453636,0.011971589006754,0.0318648215661726,0
